scats_site_number,timestamp,traffic_flow,scaled_traffic_flow
970,2006-10-17 06:00:00,2035,0.38021812711545694
970,2006-10-17 07:00:00,4292,0.8046257991726212
970,2006-10-17 08:00:00,5002,0.9381346370816096
970,2006-10-17 09:00:00,3852,0.7218879277924031
970,2006-10-17 10:00:00,3214,0.6019180142910868
970,2006-10-17 11:00:00,3163,0.5923279428356525
970,2006-10-17 12:00:00,3208,0.6007897705904475
970,2006-10-17 13:00:00,3224,0.603798420458819
970,2006-10-17 14:00:00,3572,0.6692365550959006
970,2006-10-17 15:00:00,4164,0.7805566002256487
970,2006-10-17 16:00:00,4669,0.8755171116961263
970,2006-10-17 17:00:00,4960,0.9302369311771342
970,2006-10-17 18:00:00,4352,0.8159082361790146
970,2006-10-17 19:00:00,2736,0.5120345994734862
970,2006-10-17 20:00:00,1821,0.3399774351259872
970,2006-10-17 21:00:00,1641,0.30613012410680707
970,2006-10-17 22:00:00,1212,0.2254606995110944
970,2006-10-17 23:00:00,755,0.1395261376457315
970,2006-10-18 00:00:00,326,0.0588567130500188
970,2006-10-18 01:00:00,161,0.027830011282437006
970,2006-10-18 02:00:00,95,0.015419330575404289
970,2006-10-18 03:00:00,83,0.01316284317412561
970,2006-10-18 04:00:00,161,0.027830011282437006
970,2006-10-18 05:00:00,457,0.08349003384731102
970,2006-10-18 06:00:00,2052,0.3834148176006017
970,2006-10-18 07:00:00,4332,0.8121474238435501
970,2006-10-18 08:00:00,4916,0.9219631440391124
970,2006-10-18 09:00:00,3837,0.7190673185408047
970,2006-10-18 10:00:00,3273,0.613012410680707
970,2006-10-18 11:00:00,3220,0.6030462579917262
970,2006-10-18 12:00:00,3205,0.6002256487401278
970,2006-10-18 13:00:00,3395,0.6359533659270402
970,2006-10-18 14:00:00,3474,0.6508085746521248
970,2006-10-18 15:00:00,4003,0.7502820609251598
970,2006-10-18 16:00:00,4713,0.8837908988341481
970,2006-10-18 17:00:00,4946,0.927604362542309
970,2006-10-18 18:00:00,4328,0.8113952613764572
970,2006-10-18 19:00:00,2805,0.5250094020308386
970,2006-10-18 20:00:00,1950,0.364234674689733
970,2006-10-18 21:00:00,1814,0.3386611508085747
970,2006-10-18 22:00:00,1287,0.23956374576908612
970,2006-10-18 23:00:00,677,0.1248589695374201
970,2006-10-19 00:00:00,338,0.06111320045129747
970,2006-10-19 01:00:00,159,0.02745393004889056
970,2006-10-19 02:00:00,119,0.01993230537796164
970,2006-10-19 03:00:00,92,0.014855208725084619
970,2006-10-19 04:00:00,164,0.028394133132756676
970,2006-10-19 05:00:00,488,0.08931929296728093
970,2006-10-19 06:00:00,2057,0.38435502068446786
970,2006-10-19 07:00:00,3965,0.7431365174877773
970,2006-10-19 08:00:00,4465,0.8371568258743888
970,2006-10-19 09:00:00,4069,0.7626927416321925
970,2006-10-19 10:00:00,3386,0.6342610003760811
970,2006-10-19 11:00:00,3407,0.6382098533283188
970,2006-10-19 12:00:00,3445,0.6453553967657013
970,2006-10-19 13:00:00,3409,0.6385859345618653
970,2006-10-19 14:00:00,3616,0.6775103422339225
970,2006-10-19 15:00:00,4307,0.8074464084242196
970,2006-10-19 16:00:00,4858,0.9110567882662655
970,2006-10-19 17:00:00,5025,0.9424595712673937
970,2006-10-19 18:00:00,4395,0.8239939827002631
970,2006-10-19 19:00:00,3065,0.5738999623918766
970,2006-10-19 20:00:00,2203,0.4118089507333584
970,2006-10-19 21:00:00,2138,0.3995863106430989
970,2006-10-19 22:00:00,1348,0.25103422339225273
970,2006-10-19 23:00:00,764,0.1412185031966905
970,2006-10-20 00:00:00,412,0.07502820609251598
970,2006-10-20 01:00:00,214,0.03779616397141782
970,2006-10-20 02:00:00,140,0.023881158330199322
970,2006-10-20 03:00:00,137,0.023317036479879656
970,2006-10-20 04:00:00,175,0.030462579917262127
970,2006-10-20 05:00:00,520,0.09533659270402407
970,2006-10-20 06:00:00,1929,0.3602858217374953
970,2006-10-20 07:00:00,4195,0.7863858593456186
970,2006-10-20 08:00:00,4922,0.9230913877397517
970,2006-10-20 09:00:00,3742,0.7012034599473486
970,2006-10-20 10:00:00,3404,0.6376457314779992
970,2006-10-20 11:00:00,3621,0.6784505453177886
970,2006-10-20 12:00:00,3674,0.6884166980067694
970,2006-10-20 13:00:00,3682,0.6899210229409551
970,2006-10-20 14:00:00,3943,0.7389996239187664
970,2006-10-20 15:00:00,4522,0.8478751410304625
970,2006-10-20 16:00:00,4863,0.9119969913501316
970,2006-10-20 17:00:00,5003,0.9383226776983827
970,2006-10-20 18:00:00,4446,0.8335840541556976
970,2006-10-20 19:00:00,3086,0.5778488153441143
970,2006-10-20 20:00:00,2053,0.38360285821737494
970,2006-10-20 21:00:00,2052,0.3834148176006017
970,2006-10-20 22:00:00,1462,0.27247085370440016
970,2006-10-20 23:00:00,1170,0.21756299360661904
970,2006-10-21 00:00:00,674,0.12429484768710042
970,2006-10-21 01:00:00,411,0.07484016547574276
970,2006-10-21 02:00:00,278,0.04983076344490409
970,2006-10-21 03:00:00,185,0.032342986084994356
970,2006-10-21 04:00:00,196,0.03441143286949981
